# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-11-12 12:47:10 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 13305000 LEMHI RIVER NR LEMHI ID
# -----------------------------------------------------------------------------------
#
# Data provided for site 13305000
#            TS   parameter     statistic     Description
#         46354       00010     00001     Temperature, water, degrees Celsius (Maximum)
#         46355       00010     00002     Temperature, water, degrees Celsius (Minimum)
#         46356       00010     00003     Temperature, water, degrees Celsius (Mean)
#         46357       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	46357_00060_00003	46357_00060_00003_cd
5s	15s	20d	14n	10s
USGS	13305000	2015-01-01	177	A:e
USGS	13305000	2015-01-02	195	A:e
USGS	13305000	2015-01-03	211	A:e
USGS	13305000	2015-01-04	226	A:e
USGS	13305000	2015-01-05	233	A:e
USGS	13305000	2015-01-06	229	A:e
USGS	13305000	2015-01-07	219	A
USGS	13305000	2015-01-08	217	A
USGS	13305000	2015-01-09	215	A
USGS	13305000	2015-01-10	214	A
USGS	13305000	2015-01-11	215	A
USGS	13305000	2015-01-12	216	A
USGS	13305000	2015-01-13	216	A
USGS	13305000	2015-01-14	203	A:e
USGS	13305000	2015-01-15	194	A:e
USGS	13305000	2015-01-16	210	A:e
USGS	13305000	2015-01-17	206	A:e
USGS	13305000	2015-01-18	214	A
USGS	13305000	2015-01-19	215	A
USGS	13305000	2015-01-20	214	A
USGS	13305000	2015-01-21	200	A
USGS	13305000	2015-01-22	173	A:e
USGS	13305000	2015-01-23	210	A:e
USGS	13305000	2015-01-24	213	A
USGS	13305000	2015-01-25	217	A
USGS	13305000	2015-01-26	222	A
USGS	13305000	2015-01-27	224	A
USGS	13305000	2015-01-28	228	A
USGS	13305000	2015-01-29	229	A
USGS	13305000	2015-01-30	219	A
USGS	13305000	2015-01-31	217	A
USGS	13305000	2015-02-01	212	A
USGS	13305000	2015-02-02	223	A
USGS	13305000	2015-02-03	223	A
USGS	13305000	2015-02-04	224	A
USGS	13305000	2015-02-05	227	A
USGS	13305000	2015-02-06	266	A
USGS	13305000	2015-02-07	384	A
USGS	13305000	2015-02-08	370	A
USGS	13305000	2015-02-09	358	A
USGS	13305000	2015-02-10	342	A
USGS	13305000	2015-02-11	315	A
USGS	13305000	2015-02-12	300	A
USGS	13305000	2015-02-13	294	A
USGS	13305000	2015-02-14	292	A
USGS	13305000	2015-02-15	293	A
USGS	13305000	2015-02-16	281	A
USGS	13305000	2015-02-17	258	A
USGS	13305000	2015-02-18	270	A
USGS	13305000	2015-02-19	285	A
USGS	13305000	2015-02-20	283	A
USGS	13305000	2015-02-21	275	A
USGS	13305000	2015-02-22	202	A:e
USGS	13305000	2015-02-23	178	A:e
USGS	13305000	2015-02-24	229	A:e
USGS	13305000	2015-02-25	259	A:e
USGS	13305000	2015-02-26	262	A
USGS	13305000	2015-02-27	264	A
USGS	13305000	2015-02-28	259	A
USGS	13305000	2015-03-01	229	A:e
USGS	13305000	2015-03-02	231	A:e
USGS	13305000	2015-03-03	241	A:e
USGS	13305000	2015-03-04	222	A:e
USGS	13305000	2015-03-05	227	A:e
USGS	13305000	2015-03-06	252	A:e
USGS	13305000	2015-03-07	259	A:e
USGS	13305000	2015-03-08	257	A
USGS	13305000	2015-03-09	256	A
USGS	13305000	2015-03-10	255	A
USGS	13305000	2015-03-11	258	A
USGS	13305000	2015-03-12	260	A
USGS	13305000	2015-03-13	261	A
USGS	13305000	2015-03-14	258	A
USGS	13305000	2015-03-15	277	A
USGS	13305000	2015-03-16	295	A
USGS	13305000	2015-03-17	290	A
USGS	13305000	2015-03-18	293	A
USGS	13305000	2015-03-19	276	A
USGS	13305000	2015-03-20	270	A
USGS	13305000	2015-03-21	270	A
USGS	13305000	2015-03-22	266	A
USGS	13305000	2015-03-23	264	A
USGS	13305000	2015-03-24	262	A
USGS	13305000	2015-03-25	261	A
USGS	13305000	2015-03-26	255	A
USGS	13305000	2015-03-27	252	A
USGS	13305000	2015-03-28	258	A
USGS	13305000	2015-03-29	249	A
USGS	13305000	2015-03-30	243	A
USGS	13305000	2015-03-31	244	A
USGS	13305000	2015-04-01	253	A
USGS	13305000	2015-04-02	250	A
USGS	13305000	2015-04-03	238	A
USGS	13305000	2015-04-04	246	A
USGS	13305000	2015-04-05	235	A
USGS	13305000	2015-04-06	231	A
USGS	13305000	2015-04-07	219	A
USGS	13305000	2015-04-08	220	A
USGS	13305000	2015-04-09	217	A
USGS	13305000	2015-04-10	220	A
USGS	13305000	2015-04-11	214	A
USGS	13305000	2015-04-12	213	A
USGS	13305000	2015-04-13	203	A
USGS	13305000	2015-04-14	202	A
USGS	13305000	2015-04-15	197	A
USGS	13305000	2015-04-16	198	A
USGS	13305000	2015-04-17	193	A
USGS	13305000	2015-04-18	189	A
USGS	13305000	2015-04-19	178	A
USGS	13305000	2015-04-20	156	A
USGS	13305000	2015-04-21	137	A
USGS	13305000	2015-04-22	142	A
USGS	13305000	2015-04-23	146	A
USGS	13305000	2015-04-24	154	A
USGS	13305000	2015-04-25	156	A
USGS	13305000	2015-04-26	157	A
USGS	13305000	2015-04-27	134	A
USGS	13305000	2015-04-28	134	A
USGS	13305000	2015-04-29	137	A
USGS	13305000	2015-04-30	140	A
USGS	13305000	2015-05-01	147	A
USGS	13305000	2015-05-02	155	A
USGS	13305000	2015-05-03	155	A
USGS	13305000	2015-05-04	161	A
USGS	13305000	2015-05-05	173	A
USGS	13305000	2015-05-06	175	A
USGS	13305000	2015-05-07	180	A
USGS	13305000	2015-05-08	171	A
USGS	13305000	2015-05-09	158	A
USGS	13305000	2015-05-10	151	A
USGS	13305000	2015-05-11	149	A
USGS	13305000	2015-05-12	153	A
USGS	13305000	2015-05-13	178	A
USGS	13305000	2015-05-14	182	A
USGS	13305000	2015-05-15	228	A
USGS	13305000	2015-05-16	314	A
USGS	13305000	2015-05-17	407	A
USGS	13305000	2015-05-18	353	A
USGS	13305000	2015-05-19	327	A
USGS	13305000	2015-05-20	294	A
USGS	13305000	2015-05-21	281	A
USGS	13305000	2015-05-22	305	A
USGS	13305000	2015-05-23	337	A
USGS	13305000	2015-05-24	374	A
USGS	13305000	2015-05-25	381	A
USGS	13305000	2015-05-26	420	A
USGS	13305000	2015-05-27	472	A
USGS	13305000	2015-05-28	460	A
USGS	13305000	2015-05-29	444	A
USGS	13305000	2015-05-30	467	A
USGS	13305000	2015-05-31	520	A
USGS	13305000	2015-06-01	659	A
USGS	13305000	2015-06-02	682	A
USGS	13305000	2015-06-03	614	A
USGS	13305000	2015-06-04	561	A
USGS	13305000	2015-06-05	518	A
USGS	13305000	2015-06-06	515	A
USGS	13305000	2015-06-07	515	A
USGS	13305000	2015-06-08	510	A
USGS	13305000	2015-06-09	589	A
USGS	13305000	2015-06-10	633	A
USGS	13305000	2015-06-11	630	A
USGS	13305000	2015-06-12	522	A
USGS	13305000	2015-06-13	457	A
USGS	13305000	2015-06-14	392	A
USGS	13305000	2015-06-15	351	A
USGS	13305000	2015-06-16	328	A
USGS	13305000	2015-06-17	302	A
USGS	13305000	2015-06-18	294	A
USGS	13305000	2015-06-19	284	A
USGS	13305000	2015-06-20	263	A
USGS	13305000	2015-06-21	246	A
USGS	13305000	2015-06-22	233	A
USGS	13305000	2015-06-23	224	A
USGS	13305000	2015-06-24	217	A
