# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-11-12 12:41:46 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 13305310 LEMHI RIVER BELOW L5 DIVERSION NEAR SALMON, ID
# -----------------------------------------------------------------------------------
#
# Data provided for site 13305310
#            TS   parameter     statistic     Description
#         46359       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	46359_00060_00003	46359_00060_00003_cd
5s	15s	20d	14n	10s
USGS	13305310	2015-01-01	190	A:e
USGS	13305310	2015-01-02	210	A:e
USGS	13305310	2015-01-03	235	A:e
USGS	13305310	2015-01-04	260	A:e
USGS	13305310	2015-01-05	285	A:e
USGS	13305310	2015-01-06	288	A:e
USGS	13305310	2015-01-07	277	A:e
USGS	13305310	2015-01-08	273	A
USGS	13305310	2015-01-09	268	A
USGS	13305310	2015-01-10	268	A
USGS	13305310	2015-01-11	268	A
USGS	13305310	2015-01-12	270	A
USGS	13305310	2015-01-13	268	A
USGS	13305310	2015-01-14	246	A
USGS	13305310	2015-01-15	225	A:e
USGS	13305310	2015-01-16	270	A:e
USGS	13305310	2015-01-17	263	A:e
USGS	13305310	2015-01-18	265	A:e
USGS	13305310	2015-01-19	268	A
USGS	13305310	2015-01-20	261	A
USGS	13305310	2015-01-21	230	A:e
USGS	13305310	2015-01-22	209	A:e
USGS	13305310	2015-01-23	256	A:e
USGS	13305310	2015-01-24	261	A:e
USGS	13305310	2015-01-25	261	A
USGS	13305310	2015-01-26	266	A
USGS	13305310	2015-01-27	268	A
USGS	13305310	2015-01-28	272	A
USGS	13305310	2015-01-29	272	A
USGS	13305310	2015-01-30	262	A
USGS	13305310	2015-01-31	259	A
USGS	13305310	2015-02-01	252	A
USGS	13305310	2015-02-02	265	A
USGS	13305310	2015-02-03	269	A
USGS	13305310	2015-02-04	272	A
USGS	13305310	2015-02-05	271	A
USGS	13305310	2015-02-06	307	A
USGS	13305310	2015-02-07	729	A
USGS	13305310	2015-02-08	523	A
USGS	13305310	2015-02-09	532	A
USGS	13305310	2015-02-10	429	A
USGS	13305310	2015-02-11	378	A
USGS	13305310	2015-02-12	353	A
USGS	13305310	2015-02-13	337	A
USGS	13305310	2015-02-14	332	A
USGS	13305310	2015-02-15	325	A
USGS	13305310	2015-02-16	312	A
USGS	13305310	2015-02-17	287	A
USGS	13305310	2015-02-18	292	A
USGS	13305310	2015-02-19	311	A
USGS	13305310	2015-02-20	312	A
USGS	13305310	2015-02-21	300	A
USGS	13305310	2015-02-22	219	A:e
USGS	13305310	2015-02-23	195	A:e
USGS	13305310	2015-02-24	251	A:e
USGS	13305310	2015-02-25	286	A
USGS	13305310	2015-02-26	285	A
USGS	13305310	2015-02-27	283	A
USGS	13305310	2015-02-28	277	A
USGS	13305310	2015-03-01	241	A:e
USGS	13305310	2015-03-02	242	A:e
USGS	13305310	2015-03-03	250	A:e
USGS	13305310	2015-03-04	239	A:e
USGS	13305310	2015-03-05	244	A:e
USGS	13305310	2015-03-06	270	A
USGS	13305310	2015-03-07	278	A
USGS	13305310	2015-03-08	274	A
USGS	13305310	2015-03-09	273	A
USGS	13305310	2015-03-10	273	A
USGS	13305310	2015-03-11	276	A
USGS	13305310	2015-03-12	280	A
USGS	13305310	2015-03-13	283	A
USGS	13305310	2015-03-14	279	A
USGS	13305310	2015-03-15	296	A
USGS	13305310	2015-03-16	327	A
USGS	13305310	2015-03-17	326	A
USGS	13305310	2015-03-18	333	A
USGS	13305310	2015-03-19	317	A
USGS	13305310	2015-03-20	308	A
USGS	13305310	2015-03-21	307	A
USGS	13305310	2015-03-22	306	A
USGS	13305310	2015-03-23	303	A
USGS	13305310	2015-03-24	301	A
USGS	13305310	2015-03-25	299	A
USGS	13305310	2015-03-26	296	A
USGS	13305310	2015-03-27	293	A
USGS	13305310	2015-03-28	300	A
USGS	13305310	2015-03-29	299	A
USGS	13305310	2015-03-30	282	A
USGS	13305310	2015-03-31	274	A
USGS	13305310	2015-04-01	289	A
USGS	13305310	2015-04-02	287	A
USGS	13305310	2015-04-03	275	A
USGS	13305310	2015-04-04	287	A
USGS	13305310	2015-04-05	279	A
USGS	13305310	2015-04-06	281	A
USGS	13305310	2015-04-07	255	A
USGS	13305310	2015-04-08	249	A
USGS	13305310	2015-04-09	237	A
USGS	13305310	2015-04-10	237	A
USGS	13305310	2015-04-11	224	A
USGS	13305310	2015-04-12	216	A
USGS	13305310	2015-04-13	209	A
USGS	13305310	2015-04-14	201	A
USGS	13305310	2015-04-15	193	A
USGS	13305310	2015-04-16	190	A
USGS	13305310	2015-04-17	169	A
USGS	13305310	2015-04-18	138	A
USGS	13305310	2015-04-19	118	A
USGS	13305310	2015-04-20	79.5	A
USGS	13305310	2015-04-21	40.2	A
USGS	13305310	2015-04-22	27.4	A
USGS	13305310	2015-04-23	32.5	A
USGS	13305310	2015-04-24	32.7	A
USGS	13305310	2015-04-25	32.5	A
USGS	13305310	2015-04-26	43.3	A
USGS	13305310	2015-04-27	35.7	A
USGS	13305310	2015-04-28	34.8	A
USGS	13305310	2015-04-29	31.5	A
USGS	13305310	2015-04-30	35.2	A
USGS	13305310	2015-05-01	37.4	A
USGS	13305310	2015-05-02	46.4	A
USGS	13305310	2015-05-03	51.8	A
USGS	13305310	2015-05-04	64.5	A
USGS	13305310	2015-05-05	84.6	A
USGS	13305310	2015-05-06	102	A
USGS	13305310	2015-05-07	125	A
USGS	13305310	2015-05-08	114	A
USGS	13305310	2015-05-09	99.5	A
USGS	13305310	2015-05-10	87.0	A
USGS	13305310	2015-05-11	82.2	A
USGS	13305310	2015-05-12	92.2	A
USGS	13305310	2015-05-13	150	A
USGS	13305310	2015-05-14	147	A
USGS	13305310	2015-05-15	256	A
USGS	13305310	2015-05-16	359	A
USGS	13305310	2015-05-17	492	A
USGS	13305310	2015-05-18	480	A
USGS	13305310	2015-05-19	428	A
USGS	13305310	2015-05-20	396	A
USGS	13305310	2015-05-21	383	A
USGS	13305310	2015-05-22	386	A
USGS	13305310	2015-05-23	409	A
USGS	13305310	2015-05-24	455	A
USGS	13305310	2015-05-25	461	A
USGS	13305310	2015-05-26	494	A
USGS	13305310	2015-05-27	580	A
USGS	13305310	2015-05-28	585	A
USGS	13305310	2015-05-29	562	A
USGS	13305310	2015-05-30	571	A
USGS	13305310	2015-05-31	603	A
USGS	13305310	2015-06-01	699	A
USGS	13305310	2015-06-02	757	A
USGS	13305310	2015-06-03	689	A
USGS	13305310	2015-06-04	651	A
USGS	13305310	2015-06-05	606	A
USGS	13305310	2015-06-06	580	A
USGS	13305310	2015-06-07	544	A
USGS	13305310	2015-06-08	522	A
USGS	13305310	2015-06-09	550	A
USGS	13305310	2015-06-10	633	A
USGS	13305310	2015-06-11	642	A
USGS	13305310	2015-06-12	555	A
USGS	13305310	2015-06-13	488	A
USGS	13305310	2015-06-14	441	A
USGS	13305310	2015-06-15	401	A
USGS	13305310	2015-06-16	373	A
USGS	13305310	2015-06-17	342	A
USGS	13305310	2015-06-18	320	A
USGS	13305310	2015-06-19	306	A
USGS	13305310	2015-06-20	283	A
USGS	13305310	2015-06-21	268	A
USGS	13305310	2015-06-22	245	A
USGS	13305310	2015-06-23	216	A
USGS	13305310	2015-06-24	184	A
USGS	13305310	2015-06-25	146	A
USGS	13305310	2015-06-26	117	A
USGS	13305310	2015-06-27	110	A
USGS	13305310	2015-06-28	105	A
USGS	13305310	2015-06-29	92.2	A
USGS	13305310	2015-06-30	97.1	A
USGS	13305310	2015-07-01	88.1	A
USGS	13305310	2015-07-02	68.5	A
USGS	13305310	2015-07-03	56.7	A
USGS	13305310	2015-07-04	41.7	A
USGS	13305310	2015-07-05	39.8	A
USGS	13305310	2015-07-06	38.9	A
USGS	13305310	2015-07-07	35.0	A
USGS	13305310	2015-07-08	33.3	A
USGS	13305310	2015-07-09	26.4	A
USGS	13305310	2015-07-10	31.0	A
USGS	13305310	2015-07-11	26.1	A
USGS	13305310	2015-07-12	27.9	A
USGS	13305310	2015-07-13	25.9	A
USGS	13305310	2015-07-14	27.4	A
USGS	13305310	2015-07-15	47.6	A
USGS	13305310	2015-07-16	48.3	A
USGS	13305310	2015-07-17	32.6	A
USGS	13305310	2015-07-18	32.4	A
USGS	13305310	2015-07-19	37.5	A
USGS	13305310	2015-07-20	31.5	A
USGS	13305310	2015-07-21	25.8	A
USGS	13305310	2015-07-22	25.0	A
USGS	13305310	2015-07-23	30.2	A
USGS	13305310	2015-07-24	33.8	A
USGS	13305310	2015-07-25	28.5	A
USGS	13305310	2015-07-26	30.5	A
USGS	13305310	2015-07-27	60.4	A
USGS	13305310	2015-07-28	126	A
USGS	13305310	2015-07-29	86.3	A
USGS	13305310	2015-07-30	68.8	A
USGS	13305310	2015-07-31	53.6	A
USGS	13305310	2015-08-01	44.9	A
USGS	13305310	2015-08-02	32.6	A
USGS	13305310	2015-08-03	27.9	A
USGS	13305310	2015-08-04	26.8	A
USGS	13305310	2015-08-05	27.1	A
USGS	13305310	2015-08-06	29.9	A
USGS	13305310	2015-08-07	26.5	A
USGS	13305310	2015-08-08	27.6	A
USGS	13305310	2015-08-09	33.9	A
USGS	13305310	2015-08-10	35.1	A
USGS	13305310	2015-08-11	29.4	A
USGS	13305310	2015-08-12	26.9	A
USGS	13305310	2015-08-13	27.0	A
USGS	13305310	2015-08-14	27.2	A
USGS	13305310	2015-08-15	26.7	A
USGS	13305310	2015-08-16	26.7	A
USGS	13305310	2015-08-17	26.4	A
USGS	13305310	2015-08-18	26.7	A
USGS	13305310	2015-08-19	26.7	A
USGS	13305310	2015-08-20	26.5	A
USGS	13305310	2015-08-21	26.3	A
USGS	13305310	2015-08-22	26.4	A
USGS	13305310	2015-08-23	27.3	A
USGS	13305310	2015-08-24	26.8	A
USGS	13305310	2015-08-25	26.9	A
USGS	13305310	2015-08-26	26.9	A
USGS	13305310	2015-08-27	26.9	A
USGS	13305310	2015-08-28	26.9	A
